,type,name,address,capacity,code,coordinate,residential,demand,capacity_pct,capacity_per_k,longitude,latitude
0,介護老人保健施設,介護療養型老人保健施設宮の森,札幌市中央区宮の森1237番地1,136,01101,"[141.291962, 43.056568]",1,28764.814,0.47279985888314796,4.72799858883148,141.291962,43.056568
1,介護老人福祉施設,西円山敬樹園,札幌市中央区円山西町4丁目3番20号,123,01101,"[141.303238, 43.040909]",1,28764.814,0.4276057547252,4.276057547252,141.303238,43.040909
2,介護老人保健施設,介護老人保健施設けあ・ばんけい,札幌市中央区盤渓232番地7,100,01101,"[141.273132, 43.03577]",1,28764.814,0.3476469550611383,3.476469550611383,141.273132,43.03577
3,介護老人保健施設,慈啓会老人保健施設,札幌市中央区旭ヶ丘5丁目6-48,90,01101,"[141.322876, 43.037189]",1,28764.814,0.31288225955502447,3.1288225955502447,141.322876,43.037189
4,介護老人保健施設,老人保健施設　えん,札幌市中央区宮の森１２３８番地１,85,01101,"[141.287109, 43.044884]",1,28764.814,0.2954999118019675,2.954999118019675,141.287109,43.044884
5,介護老人保健施設,介護老人保健施設　フォーシーズン山鼻,札幌市中央区南１７条西９丁目１-１３,80,01101,"[141.34668, 43.037006]",1,28764.814,0.2781175640489106,2.781175640489106,141.34668,43.037006
6,介護老人福祉施設,介護老人福祉施設　たんぽぽの丘,札幌市中央区南8条西26丁目1番2,80,01101,"[141.32077, 43.04557]",1,28764.814,0.2781175640489106,2.781175640489106,141.32077,43.04557
7,介護老人福祉施設,慈啓会特別養護老人ホームユニット型,札幌市中央区旭ヶ丘5丁目6番51号,80,01101,"[141.323135, 43.037331]",1,28764.814,0.2781175640489106,2.781175640489106,141.323135,43.037331
8,介護老人福祉施設,特別養護老人ホーム　ラスール苗穂,札幌市中央区北２条東１９丁目１１－２,80,01101,"[141.385742, 43.069134]",1,28764.814,0.2781175640489106,2.781175640489106,141.385742,43.069134
9,介護老人福祉施設,特別養護老人ホーム　札幌こもれびの家,札幌市中央区南25条西11丁目1番40号,80,01101,"[141.343964, 43.026077]",1,28764.814,0.2781175640489106,2.781175640489106,141.343964,43.026077
10,介護老人福祉施設,慈啓会特別養護老人ホーム,札幌市中央区旭ヶ丘５丁目６番５１号,70,01101,"[141.323135, 43.037331]",1,28764.814,0.24335286854279678,2.4335286854279676,141.323135,43.037331
11,認知症対応型共同生活介護,グループホーム西円山の丘,札幌市中央区円山西町４丁目３番２１号,27,01101,"[141.303162, 43.040977]",1,28764.814,0.09386467786650733,0.9386467786650733,141.303162,43.040977
12,認知症対応型共同生活介護,グループホームゆずり葉宮の森,札幌市中央区宮の森２条５丁目２番２７号,27,01101,"[141.30957, 43.061863]",1,28764.814,0.09386467786650733,0.9386467786650733,141.30957,43.061863
13,認知症対応型共同生活介護,グループホームソレイユ,札幌市中央区南7条西11丁目1番1号,27,01101,"[141.342178, 43.051327]",1,28764.814,0.09386467786650733,0.9386467786650733,141.342178,43.051327
14,認知症対応型共同生活介護,はまなす介護センター苗穂,札幌市中央区北２条東９丁目１１番地８,27,01101,"[141.370941, 43.065784]",1,28764.814,0.09386467786650733,0.9386467786650733,141.370941,43.065784
15,認知症対応型共同生活介護,グループホーム白ゆり中央,札幌市中央区南9条西7丁目1番28号,27,01101,"[141.348694, 43.048557]",1,28764.814,0.09386467786650733,0.9386467786650733,141.348694,43.048557
16,認知症対応型共同生活介護,グループホーム　サンダイス山鼻,札幌市中央区南17条西9丁目2番38号,24,01101,"[141.346725, 43.036957]",1,28764.814,0.08343526921467317,0.8343526921467317,141.346725,43.036957
17,認知症対応型共同生活介護,グッドケア・大通東,札幌市中央区大通東６丁目12-21,24,01101,"[141.365784, 43.062988]",1,28764.814,0.08343526921467317,0.8343526921467317,141.365784,43.062988
18,認知症対応型共同生活介護,グループホームサンダイス山鼻,札幌市中央区南１７条西９丁目２－３８,24,01101,"[141.346725, 43.036957]",1,28764.814,0.08343526921467317,0.8343526921467317,141.346725,43.036957
19,介護老人福祉施設（地域密着型）,地域密着型介護老人福祉施設信寿園,札幌市中央区南8条西10丁目1035-5,22,01101,"[141.343033, 43.049782]",1,28764.814,0.07648233011345042,0.7648233011345041,141.343033,43.049782
