prefecture,2015年,2020年,2025年,2030年,2035年,2040年
全　 国,11.445558453618204,13.37670009150275,15.856524282133941,16.86768573165976,16.892516564375377,17.252105657482026
北海道,13.539832155281385,15.448824959397959,18.476417684084083,20.408123512293184,20.837845800565617,21.25979421367346
青森県,11.742966493271359,13.084162592004736,15.821165322613929,18.002993417931176,19.13950515840409,20.12932342604286
岩手県,11.55802306169197,12.723536049950166,14.95610471037088,17.034374385322526,18.181307684877996,18.96881628338795
宮城県,9.508587700210807,10.953867180193951,13.46471049652357,15.625680526298458,16.73556762276972,17.522629791264237
秋田県,13.775452255080125,14.992199439633215,17.973323309766894,20.699112164737603,22.28490003832792,23.124034705566434
山形県,10.508605922179624,11.604948449358773,14.017619178909502,16.249376154956366,17.493869722159314,18.15311113905027
福島県,10.88706639470804,12.205482188742154,14.819970838321087,17.337420543874828,18.77504042671301,19.6787660131385
茨城県,9.651982327833128,11.793545811031535,14.578883470355809,16.31050515852874,16.761601467744853,17.147435276804217
栃木県,9.13261308135452,10.774908709830697,13.477915190886433,15.25910284365338,15.817321156193836,16.102156094309613
群馬県,11.014826156002352,12.998907837929302,15.833652307273374,17.241680177628453,17.382447779057127,17.70623408948701
埼玉県,9.391568798164917,12.047177731482314,14.646393453117248,15.435526811348533,15.189032511698661,15.628874278813901
千葉県,10.203432918502834,12.86679567062322,15.581339204773931,16.381091280822936,16.05657647521736,16.377600240062733
東京都,10.229573330121026,11.63482990571473,13.10468350880814,13.213568299119743,12.988863282650831,13.61998002624227
神奈川県,10.315697356242701,12.721425442458449,15.063092763512737,15.716634554503308,15.642522505086573,16.45544248645416
新潟県,10.641180883299763,12.065909125942827,14.742375535327076,16.708463834289077,17.511894621061863,18.014432791807835
富山県,11.289401070422969,13.268466297140726,16.450181960236034,17.489303757602368,17.213347627981772,17.211264111152463
石川県,10.890340551115827,12.799311542394667,15.941628506763514,16.927647706682773,16.83581736724985,16.9495525938805
福井県,10.905408796014193,12.49964279590787,15.215300703315632,16.709017910946223,17.24747829819355,17.78026650468851
山梨県,12.519409761634506,14.427831894673659,17.134376183763578,18.899289709583645,19.743650399650825,20.842071245156827
長野県,12.646051865254154,14.539391019751383,17.039029471079786,18.27858826413485,18.626021711659817,19.189195064358437
岐阜県,11.276449131731509,13.323889431794884,16.09109573743848,17.143280485997924,17.144525498028198,17.538644904001526
静岡県,10.32443190614866,12.474168806501384,15.149809666612066,16.46985387272125,16.831244857689985,17.42039916602036
愛知県,9.680171871752403,11.779718950801307,13.96715160549648,14.389256062046321,14.126378774936061,14.609319242208354
三重県,12.715909944445528,14.656834467372343,17.143322397835924,18.07703430523383,18.066221107259807,18.5183999365756
滋賀県,9.525326715184852,11.366870511997197,13.895335616858626,14.977512001413839,15.085297157246622,15.48294851024604
京都府,12.401795345233978,14.872571236710339,17.946817461674954,18.6266575195045,18.241406438293247,18.448428675860658
大阪府,12.290245023467241,15.044741495254552,17.66092170291764,17.96146054974717,17.266602062482875,17.653728993972543
兵庫県,12.808504491662786,15.257399755058476,18.171633392147292,19.1092063015923,18.96796348449622,19.354206877227135
奈良県,13.017280796889228,15.991624346244219,19.372681607418855,20.614464817740096,20.4735580348536,20.85156557634535
和歌山県,15.819294189774313,17.722940175904416,20.40422279392574,21.342629438033338,21.245864087554082,21.361713548513027
鳥取県,11.79408446014687,12.940439162527273,15.405507178159567,17.110701036080194,17.665173019601653,17.63095092399951
島根県,13.915480157528023,14.838152519898967,17.50671899248173,18.955880888357733,19.073579557125836,18.61814929949325
岡山県,12.892192074601747,14.750777372788864,17.354250303772982,18.17148269722132,17.981051900155006,17.70169727651429
広島県,12.927772375149674,15.020769969226352,17.799541758389868,18.652570333254086,18.305774391827548,17.988345467998197
山口県,15.866400190149072,17.77430838921809,20.891601290753,22.10622520630855,21.72129384993091,20.944962530404045
徳島県,13.787957797521244,15.07159080343742,18.2158268492406,20.098151147145924,20.46983931187154,20.384201605225886
香川県,13.705413956670236,15.265123039141985,18.47946753862767,19.648435894273852,19.539062520662583,19.11697445574328
愛媛県,15.256785562510474,16.88437909756052,19.91138516327492,21.45889839162167,21.746517856476753,21.714922704640863
高知県,16.442723037166047,17.986395255321266,21.14952331839158,22.550597381652267,22.661900558346684,22.460550742574256
福岡県,11.2924556260832,12.878675329134948,15.550446380671598,16.996696889755924,17.12889810830837,17.076501030180957
佐賀県,10.934556774049947,11.892146395485321,14.225477660224414,16.162977764982813,16.8389316570669,16.975836934970832
長崎県,13.955191804864073,15.04523209254041,17.757000694283732,20.02903312798484,20.932521657878393,21.095937230345978
熊本県,13.033242475785158,14.050892706023577,16.42087966228047,18.28966093621697,19.010426029120982,19.071427906789204
大分県,14.412959973278404,15.980793193027996,18.915042000143444,20.66633901101399,20.972172968411222,20.5833006774435
宮崎県,15.06602888235307,16.390380574363764,19.27649615513206,21.54778715343551,22.4875686055343,22.447501810282404
鹿児島県,17.142137292143108,17.93239089660552,20.33914945532511,22.932214815369637,24.354138294721366,24.537287747053956
沖縄県,8.624053360514292,9.190620785012777,10.604529094426852,12.464093457884069,13.513560429363626,14.099327529024174
