type,name,address,capacity,code
有料老人ホーム,介護付有料老人ホーム　ヴィラフローラ南円山,札幌市中央区南8条西26丁目1-1,158,01101
有料老人ホーム,アイムス旭山公園,札幌市中央区双子山4丁目3番8号,150,01101
有料老人ホーム,シルバーハイツ中島公園,札幌市中央区南9条西6丁目1番36-2号,114,01101
有料老人ホーム,そんぽの家苗穂,札幌市中央区北二条東十三丁目1番2号,104,01101
軽費老人ホーム,特定施設入居者生活介護　カームヒル西円山,札幌市中央区円山西町４丁目３番２１号,100,01101
有料老人ホーム,メディカル・リハビリホームくらら山鼻,札幌市中央区南16条西14丁目1番20号,56,01101
有料老人ホーム,介護付有料老人ホームソレイユアネックス,札幌市中央区南7条西11丁目1番1号,48,01101
有料老人ホーム,グリーンライフ伏見,札幌市中央区南20条西16丁目2番30号,48,01101
有料老人ホーム,ケアメゾン山鼻１号館（旧:シティホーム山鼻１号館）,札幌市中央区南２１条西１２丁目３番３号,41,01101
有料老人ホーム,ケアメゾン山鼻２号館,札幌市中央区南24条西15丁目1-9,39,01101
有料老人ホーム,介護付き有料老人ホームふれあいの里グランハイム旭ヶ丘,札幌市中央区南11条西23丁目3番1号,30,01101
サ高住,サービス付き高齢者向け住宅　ウィステリアＮ17,札幌市北区北17条西3丁目2番1号,128,01102
有料老人ホーム,フルールハピネスしのろ,札幌市北区篠路10条1丁目1番1号,100,01102
有料老人ホーム,介護付有料老人ホーム　フルールハピネスしのろ,札幌市北区篠路10条１丁目１－１,100,01102
有料老人ホーム,介護付有料老人ホーム　楽居館,札幌市北区麻生町６丁目１３番４,93,01102
有料老人ホーム,フェリスヴィラ東茨戸,札幌市北区東茨戸2条2丁目7番20号,62,01102
有料老人ホーム,福福の里ケアサポート新川,札幌市北区新川西１条４丁目２番８号,46,01102
有料老人ホーム,介護付有料老人ホーム花ごよみ,札幌市北区拓北６条１丁目５－１５,30,01102
有料老人ホーム,医療法人社団誠仁会　介護付有料老人ホーム「ホーム北大通り」,札幌市北区北23条西4丁目2-23プレイス24,21,01102
有料老人ホーム,ライフドリーム新道東,札幌市東区北34条東21丁目１－７,88,01103
サ高住,株式会社ノース・フィール　特定施設入居者生活介護ネオ,札幌市東区北37条東28丁目6番10号,75,01103
有料老人ホーム,イリスもとまち,札幌市東区北２１条東２２丁目５番１号,75,01103
有料老人ホーム,グッドタイムホーム。伏古,札幌市東区伏古３条５丁目１番２０号,42,01103
軽費老人ホーム,ケアハウスポプラ東苗穂,札幌市東区東苗穂町1089番1,40,01103
有料老人ホーム,ライフドリーム札幌東,札幌市東区苗穂町16丁目4-11,40,01103
有料老人ホーム,介護付有料老人ホームうらら伏古,札幌市東区伏古９条２丁目６番１号,38,01103
有料老人ホーム,介護付有料老人ホームせんり,札幌市東区北24条東22丁目7－7,23,01103
有料老人ホーム,ベストライフ東札幌,札幌市白石区東札幌1条2丁目3-1,100,01104
有料老人ホーム,ベストライフ東札幌,札幌市白石区東札幌1条2丁目3-1,100,01104
有料老人ホーム,ライフドリーム藤美,札幌市白石区菊水元町2条1丁目8番36号,98,01104
有料老人ホーム,ベストライフ白石,札幌市白石区本通14丁目北5-15,72,01104
有料老人ホーム,ベストライフ白石,札幌市白石区本通14北5-15,72,01104
軽費老人ホーム,特定施設入居者生活介護　ケアハウス桜,札幌市白石区本通10丁目南10番11号,70,01104
有料老人ホーム,ネクサスコート白石南郷,札幌市白石区南郷通３丁目北２番１号,67,01104
有料老人ホーム,グッドタイムホーム・平和通,札幌市白石区平和通16丁目北9番1号,56,01104
有料老人ホーム,介護付有料老人ホーム　あさひガーデン,札幌市白石区北郷1条3丁目1番55号,54,01104
有料老人ホーム（地域密着型）,介護付有料老人ホーム　パートナーハウス,札幌市白石区平和通2丁目南6-28,15,01104
有料老人ホーム,シルバーハイツ羊ヶ丘１・２番館,札幌市豊平区福住３条３丁目６番１号,160,01105
有料老人ホーム,シルバーハイツ羊ヶ丘３番館,札幌市豊平区月寒東４条１５丁目４番３８号,111,01105
有料老人ホーム,ケア付き住宅徳洲会,札幌市豊平区月寒東３条１６丁目６番６号,100,01105
有料老人ホーム,介護付有料老人ホーム「天」,札幌市豊平区月寒中央通6丁目3番1号,89,01105
有料老人ホーム,光ハイツ・ヴェラス月寒公園,札幌市豊平区美園9条8丁目5-1,73,01105
軽費老人ホーム,ケアハウスグリーンライフ光陽,札幌市豊平区西岡5条12丁目１－１,50,01105
有料老人ホーム,ニチイケアセンター豊平,札幌市豊平区西岡４条３条７番１８号,50,01105
有料老人ホーム,有料老人ホーム　グッドタイムホーム・福住,札幌市豊平区福住2条5丁目1番36号,41,01105
有料老人ホーム,介護付有料老人ホ－ム「ゆうゆうじてき」月寒公園,札幌市豊平区月寒西1条5丁目1番1号,23,01105
有料老人ホーム,光ハイツ・ヴェラス真駒内公園,札幌市南区真駒内緑町1丁目1番1号,196,01106
有料老人ホーム,光ハイツ・ヴェラス　藤野,札幌市南区藤野3条11丁目10-11,187,01106
有料老人ホーム,光ハイツ・ヴェラス　石山,札幌市南区石山1条3丁目3-33,149,01106
軽費老人ホーム,ケアハウスローザガーデン,札幌市南区石山８３７－４６,100,01106
有料老人ホーム,ネクサスコート真駒内,札幌市南区真駒内南町一丁目７番１０号,68,01106
有料老人ホーム,介護付有料老人ホームかわぞえ,札幌市南区川沿1条2丁目5番25号,52,01106
有料老人ホーム,アウルコート真駒内,札幌市南区真駒内南町４丁目５番３号,37,01106
有料老人ホーム,光ハイツ・ヴェラス　琴似,札幌市西区二十四軒4条1丁目3-1,364,01107
有料老人ホーム,敬老園札幌,札幌市西区西野10条6丁目2番20号,108,01107
有料老人ホーム,ベストライフ札幌西,札幌市西区発寒７条１４丁目13-1,79,01107
有料老人ホーム,ベストライフ札幌西,札幌市西区発寒7条14丁目13-1,79,01107
有料老人ホーム,ケアタウン徳洲会札幌西,札幌市西区西野７条３丁目１－２０,60,01107
有料老人ホーム,ヴェラス・クオーレ山の手,札幌市西区山の手6条2丁目1-1,60,01107
有料老人ホーム,生きがいの森　萬寿円,札幌市西区西野7条10丁目19-1,38,01107
軽費老人ホーム,軽費老人ホーム八軒ふくろうの城,札幌市西区八軒9条西10丁目1-6,30,01107
有料老人ホーム,介護付有料老人ホームほのぼの山の手通,札幌市西区西野２条５丁目５－１,27,01107
有料老人ホーム,ラークヒルズ札幌,札幌市厚別区厚別中央３条２丁目１２番１号,83,01108
有料老人ホーム,ベストライフ大谷地,札幌市厚別区大谷地東５－７－１,66,01108
有料老人ホーム,ベストライフ大谷地,札幌市厚別区大谷地東5－7－1,66,01108
有料老人ホーム,ルルドの泉,札幌市厚別区厚別東３条６丁目５番３５号,63,01108
有料老人ホーム,ニチイケアセンター厚別,札幌市厚別区厚別東四条4丁目11番31号,51,01108
軽費老人ホーム,特定施設入居者生活介護　やすらぎ,札幌市厚別区厚別町山本７５０番地６号,50,01108
有料老人ホーム,株式会社　創生事業団,札幌市厚別区厚別東３条７丁目21番1号,48,01108
有料老人ホーム,介護付有料老人ホーム「遊楽館」青葉,札幌市厚別区青葉町８丁目６－２４,32,01108
軽費老人ホーム,ケアハウス　ホワイトキャッスル,札幌市手稲区西宮の沢1条4丁目14番10号,100,01109
有料老人ホーム,介護付有料老人ホームフルールハピネスていね,札幌市手稲区明日風3丁目１１－１,100,01109
軽費老人ホーム,医療法人福和会　ケアハウス・スカイラーク,札幌市手稲区曙11条2丁目3番13号,60,01109
有料老人ホーム,介護付有料老人ホーム　ラ・ナシカ　ていね,札幌市手稲区手稲本町2条3丁目3-5,60,01109
有料老人ホーム,ニチイケアセンター手稲,札幌市手稲区稲穂2条4丁目13番20号,51,01109
有料老人ホーム,ケアタウン徳洲会札幌南,札幌市清田区里塚２条２丁目４番２１号,60,01110
有料老人ホーム,ベストライフ札幌清田,札幌市清田区平岡4条3丁目３－２５,56,01110
有料老人ホーム,ベストライフ札幌清田,札幌市清田区平岡4条3丁目3-25,56,01110
有料老人ホーム,介護付有料老人ホーム　パートナーハウス２号館,札幌市清田区北野１条２丁目１０－４０,35,01110
有料老人ホーム,介護付有料老人ホームぬくもりの里悠楽苑,札幌市清田区美しが丘５条９丁目９番２０号,34,01110
有料老人ホーム,介護付有料老人ホーム ハッピーI,札幌市清田区真栄5条2丁目１－１２,33,01110
有料老人ホーム,グッドタイムホーム・北野,札幌市清田区北野７条５丁目１２番４６号,26,01110
有料老人ホーム,介護付有料老人ホームみやまえ,函館市宮前町7番15号,96,01202
有料老人ホーム,グッドタイムホーム・桔梗,函館市桔梗１丁目２７番８号,90,01202
軽費老人ホーム,ケアハウス　センテナリアン,函館市桔梗町557番地,80,01202
有料老人ホーム,介護付有料老人ホーム悠,函館市海岸町5番25号,60,01202
有料老人ホーム,グッドタイムホーム・富岡,函館市富岡町3丁目22番3号,54,01202
有料老人ホーム,グッドタイムホーム・湯川,函館市湯川町」1丁目11番6号,48,01202
有料老人ホーム,介護付有料老人ホームばんだい,函館市万代町6番23号,46,01202
有料老人ホーム,泰安の郷　舟海,函館市船見町5番20号,42,01202
有料老人ホーム（地域密着型）,介護付き有料老人ホーム　かめだ,函館市亀田町３番１３号,29,01202
サ高住（地域密着型）,地域密着型特定施設平和の森美原,函館市美原3丁目53－30,29,01202
有料老人ホーム（地域密着型）,社会福祉法人函館大庚会　介護付有料老人ホームこん,函館市本町２９番７号,29,01202
有料老人ホーム（地域密着型）,介護付有料老人ホームゆう,函館市桔梗1丁目6番,29,01202
有料老人ホーム（地域密着型）,有料老人ホーム　ハーモニーハイツみなと,函館市港町3丁目4番2号,29,01202
有料老人ホーム（地域密着型）,介護付有料老人ホームこうじゅ,函館市亀田町7-1,29,01202
サ高住（地域密着型）,地域密着型特定施設　花水季,函館市栄町7番地4号,29,01202
サ高住（地域密着型）,地域密着型特定施設ケアホームくうら,函館市川原町1番3-1号,29,01202
有料老人ホーム（地域密着型）,介護付有料老人ホームあい日吉,函館市日吉町2丁目22-12,29,01202
有料老人ホーム（地域密着型）,介護付有料老人ホームあい美原,函館市美原3丁目13番32号,29,01202
有料老人ホーム（地域密着型）,グッドタイムホーム・松風,函館市松風町13番15号,29,01202
有料老人ホーム（地域密着型）,介護付有料老人ホーム　カーサ石川,函館市石川町464番地1,29,01202
有料老人ホーム（地域密着型）,介護付有料老人ホームかめだ,函館市亀田町3番13号,29,01202
有料老人ホーム（地域密着型）,介護付き有料老人ホーム白ゆり乃木,函館市乃木町4番53号,29,01202
有料老人ホーム,介護付き有料老人ホーム白ゆり,函館市富岡町1丁目23番12号,24,01202
有料老人ホーム,とどほっけ介護付有料老人ホームほのぼの,函館市新浜町１８８番地２,18,01202
サ高住,サービス付き高齢者向け住宅　ウィステリア小樽稲穂,小樽市稲穂1丁目4番2号,102,01203
有料老人ホーム,泰安の郷和華竹,小樽市若竹町26番1号,95,01203
サ高住,特定施設入居者生活介護マイラシーク塩谷,小樽市塩谷2丁目2番21号,88,01203
サ高住,ヴェラス・クオーレ小樽,小樽市花園１丁目１番９号,69,01203
サ高住（地域密着型）,ヴェラス・クオーレ小樽,小樽市花園1丁目1番9号,69,01203
有料老人ホーム,ラ・ナシカ　あさり,小樽市新光1丁目6-25,60,01203
有料老人ホーム,有料老人ホーム　ゆたか荘,小樽市長橋5丁目6番4号,42,01203
有料老人ホーム,エバ－グリ－ン七条,旭川市７条通８丁目３９番地５,80,01204
サ高住,ブルーテラス大雪,旭川市大雪通7丁目506番の16,80,01204
軽費老人ホーム,ケアハウス　フォルテ　特定施設入居者生活介護,旭川市東旭川町上兵村557番地32,60,01204
有料老人ホーム,ラ・ナシカあさひかわ,旭川市近文町17丁目2784,60,01204
サ高住,ふれあいの里　華音,旭川市4条通17丁目1481－1,53,01204
有料老人ホーム,ニチイケアセンター旭川北,旭川市永山3条7丁目1-25,51,01204
軽費老人ホーム,サンライズ特定施設入居者生活介護,旭川市永山町１０丁目２６３番地１,50,01204
軽費老人ホーム,軽費老人ホームケアハウス忠和,旭川市忠和3条7丁目2-12,50,01204
有料老人ホーム,介護付有料老人ホームカムイ,旭川市神居６条１２丁目１番１５号,50,01204
有料老人ホーム,グッドタイムホーム・東光,旭川市東光1条5丁目4番7号,47,01204
有料老人ホーム,介護付有料老人ホーム　さくら旭川,旭川市4条通22丁目1721-64,45,01204
有料老人ホーム,介護付有料老人ホーム忠和,旭川市忠和１条４丁目３番２１号,39,01204
有料老人ホーム,介護付有料老人ホームさくら南,旭川市南1条通21丁目1974-6,36,01204
有料老人ホーム,介護付有料老人ホームさくら東,旭川市豊岡7条丁目1-6,36,01204
有料老人ホーム,介護付有料老人ホーム七福神弁天館,旭川市宮下通4丁目1番14号,35,01204
有料老人ホーム,ライフサポートかがやきの里,旭川市末広５条２丁目３番１号,30,01204
有料老人ホーム,混合型特特定施設入居者生活介護　マーズガーデン,旭川市末広東2条2丁目1番1号,28,01204
有料老人ホーム,介護付有料老人ホームあかり,旭川市東光8条9丁目１-２０,28,01204
有料老人ホーム,ぐるーぷりびんぐ　ゆあん,旭川市永山3条18丁目1番5号,28,01204
有料老人ホーム,介護付有料老人ホーム秀,旭川市永山1条20丁目6番13号,27,01204
有料老人ホーム,介護付有料老人ホーム貴,旭川市春光5条7丁目11番16号,26,01204
有料老人ホーム,シルバーハイツＥ湯,旭川市豊岡13条6丁目4番8号,24,01204
有料老人ホーム,混合型特定施設入居者生活介護エールⅡ,旭川市永山北2条北11丁目26番地の3,24,01204
有料老人ホーム,さわやか室蘭館,室蘭市幸町9番8号,100,01205
軽費老人ホーム,特定施設入所者生活介護オパール室蘭,室蘭市高平町16番8,70,01205
有料老人ホーム,介護付有料老人ホームチエロ,室蘭市中島町１丁目８番５号,53,01205
軽費老人ホーム,指定特定施設入居者生活介護事業所　ふれあい母恋,室蘭市新富町1丁目2番22号,50,01205
軽費老人ホーム,ケアハウスオパール八丁平,室蘭市八丁平３丁目２２番１５号,50,01205
軽費老人ホーム（地域密着型）,ケアハウス白鳥の丘,室蘭市白鳥台５丁目１８番５号,29,01205
軽費老人ホーム（地域密着型）,社会福祉法人母恋　ケアハウス絆,室蘭市新富町1丁目2番32号,20,01205
有料老人ホーム,グッドタイムホーム・釧路,釧路市北大通4丁目１番地１,75,01206
有料老人ホーム,シルバーシティ ときわ台 ヒルズ,釧路市春採7丁目5番1号,60,01206
有料老人ホーム,介護付有料老人ホームはまなす芦野館,釧路市芦野1丁目27番1号,56,01206
有料老人ホーム,特定施設入居者生活介護　ハートピア,釧路市大楽毛5-1-16,51,01206
有料老人ホーム,ニチイケアセンター星が浦,釧路市星が浦大通3-1-5,51,01206
有料老人ホーム,あいけあガーデン春採,釧路市春採８丁目８番４号,50,01206
有料老人ホーム,介護付有料老人ホーム悠和館,釧路市愛国191番地の5747,50,01206
軽費老人ホーム,軽費老人ホーム　ケアハウスよねまち,釧路市米町4丁目3番15号,50,01206
軽費老人ホーム,軽費老人ホームケアハウスやまざくら,釧路市桜ヶ岡４丁目９番１号,50,01206
有料老人ホーム,特定施設入居者生活介護　ハートピア　I,釧路市大楽毛５－１－１８,43,01206
有料老人ホーム,あいけあガーデン共栄大通,釧路市共栄大通５丁目２番８号,40,01206
有料老人ホーム,介護付有料老人ホーム歩々はすか,釧路市昭和中央６丁目９番１２号,33,01206
有料老人ホーム,ライフシップ　ケア帯広,帯広市西7条南6丁目1-4,150,01207
有料老人ホーム,介護付有料老人ホームフルールハピネスおびひろ,帯広市東１０条南５丁目１番地,100,01207
有料老人ホーム,シルバーシティ十勝おびひろ,帯広市西6条南10丁目51番地1,60,01207
有料老人ホーム,ニチイケアセンター帯広緑ヶ丘,帯広市西16条南6丁目30番10号,51,01207
有料老人ホーム,介護付有料老人ホーム川北くらぶ,帯広市西６条北５丁目１４番地５,50,01207
サ高住,ケアタウンとてっぽの丘るくる,帯広市西7条南26丁目13番地1,50,01207
有料老人ホーム,グッドタイムホーム・帯広,帯広市東3条南12丁目1番3号,48,01207
有料老人ホーム,シルバーヒルズるくる,帯広市西３条南６丁目２番地１,45,01207
サ高住,ベル ラヴィ るくる,帯広市東4条南10丁目15番地,42,01207
有料老人ホーム,有料老人ホームハイツしらかば,帯広市東5条南14丁目1番地1,20,01207
軽費老人ホーム,ケアハウスきたみ花園,北見市花園町50-11,60,01208
軽費老人ホーム,ケアハウス　ゆうゆう,北見市東相内町171番地57,60,01208
有料老人ホーム,ニチイケアセンター東三輪,北見市東三輪１丁目８６－３,51,01208
有料老人ホーム,介護付有料老人ホーム　みんと倶楽部,北見市東三輪2丁目53番7,33,01208
軽費老人ホーム（地域密着型）,ケアハウスゆうあい,北見市美芳町1丁目8-17,22,01208
有料老人ホーム,介護付有料老人ホ－ムふれあいの里　いわみざわ華心,岩見沢市西川町467番地1,100,01210
軽費老人ホーム,ケアハウス岩見沢,岩見沢市北２条西１２丁目４－１,80,01210
有料老人ホーム,介護付有料老人ホームアビタシオン岩見沢,岩見沢市5条西7丁目1番3号,60,01210
有料老人ホーム,介護付有料老人ホームオアシス１･２番館,岩見沢市２条西５丁目２－７,50,01210
サ高住,混合型特定施設入居者生活介護　明日家の杜,岩見沢市7条東7丁目2番地４,50,01210
サ高住,サービス付き高齢者向け住宅 オアシス３番館,岩見沢市２条西５丁目２番地７,34,01210
有料老人ホーム（地域密着型）,有限会社リアン　介護付有料老人ホームえみな幌向,岩見沢市幌向南３条３丁目２７０番地３０,29,01210
有料老人ホーム（地域密着型）,さらさ岩見沢,岩見沢市北２条西６丁目12-3,28,01210
サ高住,介護付き高齢者住宅かえん,岩見沢市6条西13丁目38-1,27,01210
有料老人ホーム,介護付有料老人ホームサンヴィレッジ岩見沢元町,岩見沢市元町３条東５丁目１番５号,24,01210
有料老人ホーム,サンヴィレッジ岩見沢元町,岩見沢市元町３条５丁目１-５,24,01210
サ高住,サービス付き高齢者向け住宅　花・水・木,網走市字二ツ岩1番地1,63,01211
サ高住,医療法人社団朗愛会　ありあけ２番館,網走市字潮見１５７番地２,50,01211
軽費老人ホーム,ケアハウスハーモニーヴィレッジ,網走市字潮見１９２番地,30,01211
軽費老人ホーム（地域密着型）,ケアハウス　森の灯り　はまなす,網走市つくしヶ丘３丁目９－１,20,01211
有料老人ホーム,介護付有料老人ホーム　七福神　毘沙門館,留萌市潮静3丁目127番地,18,01212
有料老人ホーム（地域密着型）,有料老人ホームウイシュの家,留萌市見晴町2丁目１８,12,01212
軽費老人ホーム,ケアハウスはぁ～と,苫小牧市明徳町４丁目４番１７号,100,01213
軽費老人ホーム,ケアハウス恵みの里,苫小牧市松風町１番１１号,100,01213
有料老人ホーム,介護付有料老人ホーム菜の花,苫小牧市明徳町４丁目６番２１号,89,01213
サ高住,介護付有料老人ホーム「セントラル表町」,苫小牧市表町５丁目１１番５号,89,01213
有料老人ホーム,介護付有料老人ホーム「海の丘」,苫小牧市錦岡４９５－１２４３,71,01213
サ高住,いちい,苫小牧市青葉町2丁目9番19号,32,01213
軽費老人ホーム（地域密着型）,地域密着型ケアハウスリバーサイド,苫小牧市松風町2番15号,29,01213
サ高住,サービス付き高齢者向け住宅　ふれあいの里わっかない風華,稚内市中央3丁目6番1号,36,01214
軽費老人ホーム,ケアハウス　ハーモニー　特定施設入居者生活介護事業所,美唄市東7条南2丁目5番23号,50,01215
軽費老人ホーム,ケアハウスあしべつ特定施設入居者生活介護,芦別市本町1065番地の27,50,01216
